cuDensity,cuThermCond,cuSpecHeat
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
8829.0,384.0,406.0
