# Elastic modulus data for tungsten
# Temp. (C), Elastic Modulus (Pa)
20,398000000000.0
50,398000000000.0
100,397000000000.0
150,397000000000.0
200,396000000000.0
250,396000000000.0
300,395000000000.0
350,394000000000.0
400,393000000000.0
450,391000000000.0
500,390000000000.0
550,388000000000.0
600,387000000000.0
650,385000000000.0
700,383000000000.0
750,381000000000.0
800,379000000000.0
850,376000000000.0
900,374000000000.0
950,371000000000.0
1000,368000000000.0
1100,362000000000.0
1200,356000000000.0
